"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranula...","235/2698","379/6616",8.16694327633666e-18,1.02331799252498e-14,8.57099204895542e-15,"PGM1/GRN/CYBB/CD14/CYFIP1/SIRPB1/VCP/PYGL/GNS/CD93/GPI/TNFRSF1B/IQGAP1/LAMP1/PSAP/VPS35L/LTF/RAB31/PECAM1/C3AR1/CKAP4/PSMD1/MAPK14/GLB1/TIMP2/FCN1/NFKB1/ATG7/HP/ITGAM/PLEKHO2/SERPINA1/GM2A/PGLYRP1/ITGB2/ADA2/PDXK/RHOG/RAB7A/LILRA3/CD36/GSN/MMP9/LCN2/PSEN1/CLEC5A/ALOX5/CANT1/CAP1/ADGRE5/IGF2R/XRCC6/HSPA1A/RETN/CEP290/ENPP4/CTSA/LTA4H/DNAJC13/SIGLEC5/ALDOA/CDA/CFP/CD47/ALDH3B1/DIAPH1/ADGRE3/STK10/BPI/VCL/DOCK2/CTSD/RAC1/PADI2/PKM/PSMD2/PRKCD/UBR4/CTSB/TLR2/LAMP2/RAB27A/MAPK1/CXCR1/KPNB1/ANXA2/RAB5C/CR1/ACPP/MLEC/PTAFR/HPSE/ANPEP/FAF2/CYB5R3/C6orf120/C5AR1/SIRPA/FPR1/ATP8A1/AGL/PGAM1/CD59/CNN2/MPO/S100A9/HSPA1B/NCKAP1L/ORM1/CRISPLD2/MME/SLC2A3/DNASE1L1/RAP1B/CAMP/ERP44/PTPN6/DNAJC3/FCGR2A/CAND1/PFKL/MAN2B1/SIGLEC9/HGSNAT/FTH1/GOLGA7/PRCP/HUWE1/ITGAV/GLA/CD55/FCER1G/GUSB/RNASET2/RAB14/OSTF1/FGR/RAP2C/CAT/SCAMP1/CEACAM8/PTPRC/PLAUR/CD44/PSMC3/PPIE/TCN1/HSP90AA1/COMMD3/AGA/DOK3/PYGB/CPNE3/CPPED1/FPR2/PSMA2/PLAC8/CAPN1/FCAR/CTSH/LAIR1/XRCC5/GYG1/TUBB4B/FGL2/NIT2/ITGAL/HMGB1/MGAM/PYCARD/ATP6V0C/DDX3X/QPCT/CD33/ACTR1B/S100A11/ARMC8/MOSPD2/TUBB/CST3/FTL/IMPDH1/APEH/S100P/CRISP3/RAB5B/TOM1/CD177/CEACAM1/ARSA/S100A12/TOLLIP/CEACAM6/ADGRG3/CXCR2/CPNE1/MMP8/ACLY/TMC6/SPTAN1/LAMTOR3/TRPM2/CTSZ/RHOA/CCT2/SLC11A1/LRMP/ACTR10/CEACAM3/NEU1/QSOX1/CYBA/SERPINB6/FCGR3B/KCMF1/AP2A2/RAB3D/PSMB1/PRDX6/CD68/CD300A/ACTR2/SELL/BST1/ROCK1/VAT1/PPIA/ARHGAP45/PSMD12/KRT1/SDCBP/HLA-C/APAF1/GLIPR1/TYROBP",235
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors...","137/2698","241/6616",2.20123019185548e-07,0.000137907071519746,0.000115506657962101,"CYBB/CYFIP1/DIAPH2/IQGAP1/CTNNA1/MAPK14/BUB3/RHOG/PAK1/GRB2/EVL/PAK2/MYH9/TUBB1/NCF2/PAFAH1B1/SPDL1/NCF4/ARPC1B/YWHAH/DIAPH1/FLNA/NUP98/PFN2/RAC1/XPO1/PRKCD/WAS/RAC2/MAPK1/PRKCB/NUP107/MRTFA/PDPK1/ITGB3BP/TUBA1A/CFL1/SRC/KNTC1/ARPC1A/TUBA1B/NDEL1/NCF1/TUBA3C/FMNL1/MIS12/PPP2R5C/WIPF1/YWHAB/CTTN/WIPF2/S100A9/NCKAP1L/TUBA1C/CLASP1/PKN2/HIST1H2BH/TAX1BP3/MAPK3/MYLK/MAD2L1/B9D2/NF2/WASF2/MAPRE1/TUBA4A/HIST1H2BK/HIST1H4B/PPP1CC/ACTB/HIST1H3H/CENPE/H3F3A/KTN1/ARPC2/CLASP2/KDM1A/PIK3C3/HIST1H2BE/PPP1R12A/CKAP5/CALM3/HIST1H2BJ/CYFIP2/LIMK2/HIST1H2BD/PPP2R1A/ITGB1/NDC80/TUBB4B/PFN1/ABL1/H3F3B/MYL9/HIST1H2AE/RANBP2/YWHAQ/CDKN1B/HIST1H4H/RANGAP1/NUP160/SEC13/CENPC/CTNNB1/H2AFJ/TUBB3/HIST1H2BF/NUP43/CENPI/ARPC4/PPP2CB/TUBB2A/KDM4C/HIST1H3D/RHOA/HIST1H2AJ/NCKAP1/YWHAE/AHCTF1/HIST1H4A/KIF2A/HIST1H2BI/H2AFV/CYBA/NCOA2/HIST1H2BC/HIST2H2AA3/HIST1H3G/SFN/MYH10/ACTR2/HIST1H2BG/ROCK1/CENPQ/HIST1H2AD/MYL6/ABI1",137
"R-HSA-194315","R-HSA-194315","Signaling by Rho GTP...","173/2698","320/6616",6.13344619326217e-07,0.000205163047819585,0.000171838164133344,"CYBB/CYFIP1/DIAPH2/IQGAP1/CTNNA1/AKAP13/MAPK14/BUB3/RHOG/PAK1/GRB2/EVL/TRIO/PAK2/RALBP1/MYH9/TUBB1/NCF2/ARHGAP12/ABR/PAFAH1B1/SPDL1/NCF4/RHOT2/ARPC1B/ARHGAP26/YWHAH/DIAPH1/ARHGAP1/FLNA/NUP98/PFN2/RAC1/XPO1/PRKCD/WAS/RAC2/MAPK1/PRKCB/NUP107/MRTFA/PDPK1/ITGB3BP/TUBA1A/CFL1/SRC/KNTC1/FAM13B/ARPC1A/TUBA1B/NDEL1/NCF1/TUBA3C/FMNL1/MIS12/ARHGAP5/PPP2R5C/WIPF1/YWHAB/CTTN/WIPF2/S100A9/NCKAP1L/TUBA1C/CLASP1/ARHGEF2/PKN2/HIST1H2BH/TAX1BP3/MCF2/MAPK3/ITSN1/MYLK/ARHGDIA/MAD2L1/B9D2/NF2/WASF2/VAV1/MAPRE1/TUBA4A/HIST1H2BK/HIST1H4B/PPP1CC/ACTB/ARHGAP25/HIST1H3H/MYO9B/CENPE/H3F3A/KTN1/ARPC2/ARHGDIB/CLASP2/KDM1A/ARAP2/GMIP/ARHGAP4/PIK3C3/ARHGEF12/ARHGAP6/HIST1H2BE/PPP1R12A/CKAP5/CALM3/HIST1H2BJ/CYFIP2/ARHGEF3/RHOBTB1/LIMK2/HIST1H2BD/PPP2R1A/ITGB1/NDC80/TUBB4B/PFN1/ABL1/H3F3B/MYL9/HIST1H2AE/RANBP2/YWHAQ/RHOT1/CDKN1B/HIST1H4H/RANGAP1/NUP160/SEC13/ARAP1/CENPC/CTNNB1/RHOH/H2AFJ/TUBB3/HIST1H2BF/ARHGEF10L/NUP43/CENPI/BCR/ARAP3/ARPC4/PPP2CB/TUBB2A/KDM4C/HIST1H3D/ARHGEF11/RHOA/HIST1H2AJ/NCKAP1/YWHAE/AHCTF1/HIST1H4A/KIF2A/HIST1H2BI/H2AFV/CYBA/ARHGEF7/NCOA2/HIST1H2BC/HIST2H2AA3/HIST1H3G/SFN/MYH10/ACTR2/ECT2/HIST1H2BG/ROCK1/CENPQ/HIST1H2AD/MYL6/ARHGAP45/ABI1/FAM13A",173
"R-HSA-68886","R-HSA-68886","M Phase...","163/2698","299/6616",6.54949873326689e-07,0.000205163047819585,0.000171838164133344,"OFD1/PSME3/PSMD1/CSNK2A1/BUB3/NCAPD2/RAD21/TUBB1/LPIN1/CEP290/ACTR1A/PAFAH1B1/SPDL1/RAB2A/CEP135/NUP98/CDC27/CNTRL/CEP192/GOLGA2/XPO1/PSMD2/PSME4/MAPK1/PRKCB/NUP107/CCP110/ITGB3BP/TUBA1A/KNTC1/DCTN1/TUBA1B/NDEL1/LEMD3/TUBA3C/NUP54/MIS12/PPP2R5C/POM121/LMNB1/TUBA1C/CLASP1/CEP57/HAUS3/HIST1H2BH/MAPK3/PRKACA/FBXO5/CEP70/ANAPC10/MAD2L1/B9D2/SMC4/FGFR1OP/MAPRE1/TUBA4A/HIST1H2BK/HIST1H4B/PPP1CC/HIST1H3H/PSMC1/PSMC4/CENPE/TPR/H3F3A/CEP76/PSMB3/NUP58/UBC/CLASP2/PDS5A/NUP42/USO1/BLZF1/HIST1H2BE/PSMC3/HAUS7/NDC1/CKAP5/HSP90AA1/HIST1H2BJ/ENSA/HIST1H2BD/PPP2R1A/PSMA2/MZT2B/AKAP9/LPIN2/NDC80/TUBB4B/PSMC6/PDS5B/H3F3B/LMNA/CETN2/TMPO/TUBGCP2/HIST1H2AE/RANBP2/CDC16/SMC2/TUBB/HIST1H4H/STAG2/PCM1/RANGAP1/NUP160/SEC13/CENPC/H2AFJ/TUBB3/UBB/TUBG2/CSNK1D/HIST1H2BF/PSMD4/RAB1A/NUP43/SFI1/CENPI/PSMD5/UBE2E1/CEP152/NUP50/NUP214/SMC1A/PSMF1/PPP2CB/TUBB2A/PSMA1/CDC23/HIST1H3D/NIPBL/CTDNEP1/HIST1H2AJ/HAUS6/YWHAE/AHCTF1/HIST1H4A/KIF2A/HIST1H2BI/PSMD10/H2AFV/VRK2/NCAPH/CDK5RAP2/HIST1H2BC/NUP93/HIST2H2AA3/HIST1H3G/PSMB1/WAPL/MZT2A/RPS27A/HIST1H2BG/CENPQ/HIST1H2AD/PSMB2/PSMD12/VRK1/PSMD8/PSMA3/PCNT",163
"R-HSA-5663205","R-HSA-5663205","Infectious disease...","176/2698","332/6616",2.62598740039115e-06,0.000658072442538021,0.000551180934355784,"LTF/PSME3/PSMD1/TBP/VAMP1/AP2B1/ATP6V1H/GRB2/VPS37C/PAK2/XRCC6/HSPA1A/HCK/POLR2H/CCNT2/NUP98/DOCK2/VPS37B/RAC1/CUL5/XPO1/RPL10/TAF11/PSMD2/PSME4/NMT2/NUP107/KPNB1/NPM1/UBAP1/CD4/TXNRD1/SRC/TGFB1/ELMO1/RPL17/NUP54/RPL15/KPNA1/POM121/RPLP0/HSPA1B/NCBP2/RPL37A/FYN/RPS16/DNAJC3/RPL5/RPL31/TAF7/CHMP2A/ELOA/PSIP1/RPL10A/GTF2F1/POLR2E/MVB12B/RPS28/KPNA3/LIG1/PSMC1/PSMC4/RPS13/CLTC/RPL14/TPR/MAP2K2/TAF2/RPL13A/CANX/PSMB3/NUP58/GTF2E1/UBC/SSRP1/POLR2K/MAP2K3/CD28/RPL24/RPL8/POLR2B/NUP42/ARF1/EPS15/VAMP2/CTNND1/RPS3/PSMC3/RPSA/NDC1/RPS14/KPNA4/RPS2/RPS21/CALM3/PABPN1/TSG101/HSP90AA1/SH3GL1/RPS6/RPL18A/AP2S1/SUPT4H1/PSMA2/ERCC2/RPS20/TAF9B/AP2M1/XRCC5/RPS8/CHMP2B/RPL22/TAF6/PSMC6/RPL35A/CLTA/LCK/RAN/TAF4/RANBP2/POLR2A/LIG4/RANGAP1/GTF2A1/CHMP5/NUP160/SEC13/CTNNB1/RPL10L/UBB/RPL7A/FURIN/PSMD4/STAM2/NUP43/PSMD5/NUP50/NELFE/NUP214/PSMF1/PSMA1/TAF9/TAF1/CCNT1/RPS9/TCEA1/SKP1/RPL13/RPS4X/RPL3/NEDD4L/RPS5/CD8B/PSMD10/NUP93/ERCC3/AP2A2/PSMB1/GRSF1/BTRC/SV2A/POLR2C/RNMT/RPL12/RPS27A/ELOC/NCBP1/PPIA/PSMB2/PACS1/PSMD12/PSMD8/CTDP1/PSMA3/RPL36/APOBEC3G",176
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic...","215/2698","418/6616",3.54295932880449e-06,0.000739888006498671,0.00061970709663475,"OFD1/GSK3B/E2F3/PSME3/PSMD1/CSNK2A1/BUB3/DNA2/LYN/NCAPD2/ORC2/RAD21/TUBB1/LPIN1/CEP290/ACTR1A/RAB8A/ORC3/PAFAH1B1/SPDL1/RAB2A/CEP135/NUP98/CDC27/CNTRL/CEP192/TP53/GOLGA2/XPO1/PSMD2/PPP2R3B/PSME4/CDC7/CCND2/MAPK1/PRKCB/NUP107/CCP110/ITGB3BP/TUBA1A/SRC/KNTC1/DCTN1/TUBA1B/NDEL1/LEMD3/TUBA3C/NUP54/MIS12/PPP2R5C/POM121/RBBP4/MCM5/LMNB1/TUBA1C/CLASP1/CEP57/E2F5/HAUS3/HIST1H2BH/MAPK3/RFC2/PRKACA/FBXO5/CEP70/ANAPC10/MAD2L1/B9D2/SMC4/ORC5/DBF4/RFC5/FGFR1OP/MAPRE1/TUBA4A/HIST1H2BK/CCNA2/HIST1H4B/PPP1CC/LIG1/HIST1H3H/AKT3/PSMC1/PSMC4/CENPE/TPR/H3F3A/CEP76/PSMB3/NUP58/CDK11B/UBC/CLASP2/PDS5A/RPA1/GMNN/NUP42/USO1/BLZF1/HIST1H2BE/PSMC3/RFC4/HAUS7/PPP1R12A/NDC1/CKAP5/HSP90AA1/HIST1H2BJ/ENSA/HIST1H2BD/PPP2R1A/PSMA2/MZT2B/AKAP9/LPIN2/NDC80/POLD3/TUBB4B/PSMC6/PDS5B/ABL1/H3F3B/LMNA/MAX/RBL2/CETN2/TMPO/TUBGCP2/HIST1H2AE/CDKN1A/RANBP2/DYRK1A/CDC16/RFC3/SMC2/TUBB/RFC1/ORC6/CDKN1B/HIST1H4H/STAG2/PCM1/RANGAP1/NUP160/SEC13/SKP2/CENPC/GINS3/H2AFJ/JAK2/TUBB3/CDC14A/UBB/TUBG2/CSNK1D/CDK2/HIST1H2BF/PSMD4/RAB1A/NUP43/SFI1/CENPI/PSMD5/UBE2E1/CEP152/NUP50/NUP214/SMC1A/PSMF1/PPP2CB/TUBB2A/BORA/PSMA1/TPX2/CDC23/HIST1H3D/NIPBL/CKS1B/CTDNEP1/TOP2A/HIST1H2AJ/HAUS6/SKP1/YWHAE/DHFR/AHCTF1/HIST1H4A/KIF2A/CDKN1C/HIST1H2BI/PSMD10/H2AFV/FZR1/VRK2/NCAPH/CDK5RAP2/HIST1H2BC/NUP93/HIST2H2AA3/HIST1H3G/PSMB1/BTRC/WAPL/PRIM1/MZT2A/RPS27A/HIST1H2BG/CENPQ/HIST1H2AD/PSMB2/PSMD12/VRK1/PSMD8/PSMA3/PCNT",215
"R-HSA-1640170","R-HSA-1640170","Cell Cycle...","249/2698","494/6616",4.42705770880767e-06,0.000792443329876572,0.000663725794839284,"OFD1/GSK3B/E2F3/ATM/PSME3/PSMD1/CSNK2A1/BUB3/DNA2/LYN/UBE2N/MDC1/ATR/NCAPD2/BABAM2/ORC2/RAD21/TUBB1/LPIN1/CEP290/ACTR1A/RAB8A/ORC3/PAFAH1B1/SPDL1/YWHAH/RAB2A/CEP135/WRN/NUP98/CDC27/DIDO1/CNTRL/CEP192/TP53/GOLGA2/XPO1/PSMD2/PPP2R3B/PSME4/CDC7/CCND2/MAPK1/PRKCB/NUP107/CCP110/NPM1/ITGB3BP/TUBA1A/SRC/KNTC1/DCTN1/TUBA1B/NDEL1/LEMD3/TUBA3C/NUP54/MIS12/PPP2R5C/YWHAB/POM121/RBBP4/MCM5/LMNB1/TOP3A/TUBA1C/CLASP1/CEP57/E2F5/HAUS3/HERC2/HIST1H2BH/MAPK3/PHF20/RFC2/PRKACA/FBXO5/TERF2/CEP70/ANAPC10/MAD2L1/B9D2/SMC4/ORC5/DBF4/RFC5/FGFR1OP/MAPRE1/TUBA4A/HIST1H2BK/SMARCA5/CCNA2/HIST1H4B/SYCP2/PPP1CC/LIG1/HIST1H3H/AKT3/PSMC1/PSMC4/RAD17/CENPE/TPR/H3F3A/CEP76/PSMB3/NUP58/CDK11B/UBC/CLASP2/PDS5A/RPA1/SUN1/GMNN/NUP42/USO1/PIAS4/BLZF1/HIST1H2BE/PSMC3/RFC4/HAUS7/PPP1R12A/NDC1/NSD2/CKAP5/HSP90AA1/HIST1H2BJ/MIS18BP1/UBE2V2/ENSA/NBN/HIST1H2BD/PPP2R1A/PSMA2/MZT2B/AKAP9/LPIN2/NDC80/POLD3/TUBB4B/PSMC6/PDS5B/POT1/ABL1/H3F3B/LMNA/MAX/RBL2/CETN2/TMPO/TUBGCP2/HIST1H2AE/CDKN1A/RANBP2/DYRK1A/YWHAQ/CDC16/RFC3/SMC2/TUBB/CENPX/RFC1/ORC6/CDKN1B/HIST1H4H/STAG2/PCM1/RANGAP1/NUP160/SEC13/SKP2/SUMO1/CENPC/GINS3/H2AFJ/JAK2/TUBB3/RUVBL1/CDC14A/UBB/TUBG2/DKC1/BRCC3/CSNK1D/CDK2/HIST1H2BF/PSMD4/RAB1A/NUP43/SFI1/CENPI/PSMD5/UBE2E1/CEP152/NUP50/NUP214/SMC1A/PSMF1/PPP2CB/TUBB2A/BORA/PSMA1/TPX2/CDC23/HIST1H3D/NIPBL/CKS1B/CTDNEP1/TOP2A/HIST1H2AJ/HAUS6/SKP1/YWHAE/RAD51C/DHFR/AHCTF1/HIST1H4A/KIF2A/CDKN1C/HIST1H2BI/PSMD10/H2AFV/FZR1/VRK2/NCAPH/CDK5RAP2/HIST1H2BC/NUP93/HIST2H2AA3/HIST1H3G/PSMB1/RAD1/BTRC/WAPL/SFN/PRIM1/MZT2A/RPS27A/HIST1H2BG/CENPQ/HIST1H2AD/PSMB2/PSMD12/VRK1/PSMD8/PSMA3/PCNT/BARD1",249
"R-HSA-8953897","R-HSA-8953897","Cellular responses t...","210/2698","410/6616",6.69954638276999e-06,0.00104931645220135,0.000878874703108115,"CYBB/VCP/GSK3B/RRAGD/AGO1/MAP4K4/E2F3/ATM/PSME3/PSMD1/MAPK14/CSNK2A1/NFKB1/ATG7/MAPKAPK3/MTF1/RNF2/ATR/STAT3/HSPA1A/MTMR3/TUBB1/NCF2/UBN1/EED/ACTR1A/CAPZB/SOD2/NCF4/ATG13/WDR45B/MFN1/NUP98/CDC27/TP53/MTERF3/PSMD2/MFN2/PSME4/RELA/MAP3K5/MAPK1/NUP107/WIPI2/TXNRD1/TUBA1A/SRC/DCTN1/ARNT/TUBA1B/PRDX3/NCF1/TUBA3C/NUP54/SQSTM1/HSPA13/POM121/RBBP4/GPX7/TOMM20/HSPA1B/BMI1/LMNB1/TUBA1C/DNAJC2/HSPA5/CUL2/KDM6B/HIST1H2BH/RRAGC/MAPK3/PTGES3/MTMR14/HSPA4/TERF2/ANAPC10/GSR/CHMP2A/RHEB/ETS2/TUBA4A/HIST1H2BK/PHC2/CCNA2/HIST1H4B/TSC2/RPS6KA1/HIF1AN/HIST1H3H/PSMC1/PSMC4/ASF1A/TPR/ATG4A/H3F3A/CAT/PSMB3/NUP58/UBC/ATP7A/HIGD1A/MAP2K3/RPA1/WIPI1/PIK3C3/UBE2D3/NUP42/HSPH1/RPS6KA2/HSPA14/HIST1H2BE/PSMC3/NDC1/CXCL8/HSP90AA1/PINK1/HIST1H2BJ/NR3C2/DNAJB6/NBN/HIST1H2BD/SUZ12/ATG12/PSMA2/ATG5/CHMP2B/TUBB4B/PSMC6/ERF/MAPKAPK2/POT1/H3F3B/GABARAPL1/HIST1H2AE/CDKN1A/CITED2/HIST1H1C/RANBP2/CYCS/MAPK8/CDC16/HIRA/ATG4B/GABARAP/GPX3/CDKN1B/HIST1H4H/NUP160/SEC13/RB1CC1/PHC1/H2AFJ/TUBB3/ULK1/CSRP1/UBB/CDK2/HIST1H2BF/PSMD4/NUP43/PSMD5/UBE2E1/NUP50/NUP214/PSMF1/BAG4/SIRT1/LAMTOR3/MINK1/TUBB2A/PSMA1/CDC23/HIST1H3D/EGLN1/EPAS1/ATG14/P4HB/HIST1H2AJ/YWHAE/ACTR10/HIST1H4A/WDR45/VEGFA/HIST1H2BI/PSMD10/H2AFV/FZR1/CYBA/HIST1H2BC/NUP93/VDAC1/HIST2H2AA3/HIST1H3G/PSMB1/SOD1/STIP1/PRDX6/PRDX2/MT1G/RPS27A/ELOC/HIST1H2BG/HIST1H2AD/HIKESHI/PSMB2/PSMD12/PSMD8/TOMM7/DCTN6/PSMA3",210
"R-HSA-162906","R-HSA-162906","HIV Infection...","114/2698","205/6616",9.6120356072469e-06,0.00133820895732004,0.00112084204683335,"PSME3/PSMD1/TBP/AP2B1/ATP6V1H/VPS37C/PAK2/XRCC6/HCK/POLR2H/CCNT2/NUP98/DOCK2/VPS37B/RAC1/CUL5/XPO1/TAF11/PSMD2/PSME4/NMT2/NUP107/KPNB1/NPM1/UBAP1/CD4/ELMO1/NUP54/KPNA1/POM121/NCBP2/FYN/TAF7/CHMP2A/ELOA/PSIP1/GTF2F1/POLR2E/MVB12B/LIG1/PSMC1/PSMC4/TPR/TAF2/PSMB3/NUP58/GTF2E1/UBC/SSRP1/POLR2K/CD28/POLR2B/NUP42/ARF1/PSMC3/NDC1/TSG101/AP2S1/SUPT4H1/PSMA2/ERCC2/TAF9B/AP2M1/XRCC5/CHMP2B/TAF6/PSMC6/LCK/RAN/TAF4/RANBP2/POLR2A/LIG4/RANGAP1/GTF2A1/CHMP5/NUP160/SEC13/UBB/FURIN/PSMD4/NUP43/PSMD5/NUP50/NELFE/NUP214/PSMF1/PSMA1/TAF9/TAF1/CCNT1/TCEA1/SKP1/NEDD4L/CD8B/PSMD10/NUP93/ERCC3/AP2A2/PSMB1/BTRC/POLR2C/RNMT/RPS27A/ELOC/NCBP1/PPIA/PSMB2/PACS1/PSMD12/PSMD8/CTDP1/PSMA3/APOBEC3G",114
"R-HSA-5625740","R-HSA-5625740","RHO GTPases activate...","41/2698","61/6616",2.53079076313209e-05,0.00317108082620451,0.0026559983061502,"PAK1/MYH9/YWHAH/RAC1/PDPK1/YWHAB/PKN2/HIST1H2BH/HIST1H2BK/HIST1H4B/HIST1H3H/H3F3A/KDM1A/HIST1H2BE/PPP1R12A/HIST1H2BJ/HIST1H2BD/H3F3B/MYL9/HIST1H2AE/YWHAQ/HIST1H4H/H2AFJ/HIST1H2BF/KDM4C/HIST1H3D/RHOA/HIST1H2AJ/YWHAE/HIST1H4A/HIST1H2BI/H2AFV/NCOA2/HIST1H2BC/HIST2H2AA3/HIST1H3G/SFN/MYH10/HIST1H2BG/HIST1H2AD/MYL6",41
